address,baths,beds,city,days_on_market,lot_size,price,property_type,sold_date,square_feet,state,year_built,zipcode
608 Green Valley Dr,1.0,,Moody,,64469,165000,Single Family Residential,,3449,AL,1984,35004
120 Haynes Dr,,0,Moody,,15682,10000,Unknown,,,AL,,35004
6017 Kelly Creek Cir,2.0,3,Moody,168,696,191900,Single Family Residential,September-14-2018,1555,AL,2008,35004
1080 Kelly Creek Way,2.0,3,Moody,162,12632,177200,Single Family Residential,September-20-2018,1543,AL,2006,35004
2530 Joey Adkins Dr,1.0,,Moody,,4356,141000,Single Family Residential,,1247,AL,2004,35004
1025 Hickory St,3.0,4,Moody,161,10454,195000,Single Family Residential,September-21-2018,2100,AL,2017,35004
0 Lake Joyce Rd Unit 10-18,,,Moody,164,261360,50000,Vacant Land,September-18-2018,,AL,,35004
2040 Tudor Ln,1.0,,Moody,,4356,141355,Single Family Residential,,1604,AL,2004,35004
3943 Valley Bend Dr,2.5,3,Moody,126,28314,227900,Single Family Residential,October-26-2018,3549,AL,1973,35004
4035 Verbena Dr,3.5,4,Moody,114,15681,253000,Single Family Residential,November-7-2018,2310,AL,2017,35004
90 Acton Loop,2.0,3,Moody,121,50529,125100,Single Family Residential,October-31-2018,1238,AL,2006,35004
2016 Plantation Pkwy,1.0,,Moody,,6098,149000,Single Family Residential,,1413,AL,1997,35004
1025 Hickory St,1.0,,Moody,,10454,195468,Single Family Residential,,1232,AL,2017,35004
1212 Glenstone Pl,2.0,3,Moody,165,6534,192000,Single Family Residential,September-17-2018,2049,AL,2005,35004
2073 Edgewood Dr,2.0,3,Moody,115,5662,160000,Single Family Residential,November-6-2018,1968,AL,2008,35004
4067 Verbena Dr,2.5,3,Moody,119,12632,205000,Single Family Residential,November-2-2018,1512,AL,2012,35004
3330 Highfield Dr,2.5,,Moody,,126324,428200,Single Family Residential,,3034,AL,1992,35004
2838 Shirley Dr,2.0,3,Moody,119,17424,128000,Single Family Residential,November-2-2018,1100,AL,2001,35004
1248 Glenstone Pl,2.0,3,Moody,121,6098,158850,Single Family Residential,October-31-2018,1472,AL,2006,35004
1066 Ivy Pl,2.0,3,Moody,107,,179000,Single Family Residential,November-14-2018,1920,AL,2005,35004
1161 Alden Glen Dr,2.5,3,Moody,127,6098,195000,Single Family Residential,October-25-2018,1857,AL,2008,35004
2425 Folsom St,1.0,,Moody,,6534,100000,Single Family Residential,,1839,AL,2011,35004
1032 Oak Blvd,,,Moody,,,10000,Single Family Residential,,1008,AL,1981,35004
2429 Blueberry Dr,3.0,4,Moody,87,23086,233150,Single Family Residential,December-4-2018,2088,AL,2018,35004
1141 Windsor Pkwy,2.0,3,Moody,105,4356,154920,Single Family Residential,November-16-2018,1329,AL,2004,35004
2101 Kings Ct,2.0,2,Moody,77,,115000,Townhouse,December-14-2018,1039,AL,2004,35004
1108 St Clair Rd,1.0,,Moody,,23087,50000,Single Family Residential,,1572,AL,1974,35004
1155 Windsor Pkwy,2.0,3,Moody,35,4356,160000,Single Family Residential,January-25-2019,1327,AL,2002,35004
2024 Spaulding Pl,2.0,3,Moody,155,4356,144900,Single Family Residential,September-27-2018,1438,AL,2004,35004
3030 Whites Chapel Pkwy,2.0,3,Moody,63,43560,136000,Single Family Residential,December-28-2018,1428,AL,1996,35004
3113 Vintage Way,2.0,3,Moody,94,4356,176900,Single Family Residential,November-27-2018,1662,AL,2005,35004
3317 Highfield Dr,3.0,4,Moody,79,100187,400000,Single Family Residential,December-12-2018,3408,AL,1993,35004
2304 Blueridge Dr,1.0,,Leeds,,13068,129896,Single Family Residential,,1300,AL,1978,35094
2216 Castle Hill Ln,1.0,,Moody,,2614,108400,Townhouse,,1039,AL,2004,35004
1125 Alden Glen Dr,1.5,,Moody,,4356,164000,Single Family Residential,,1691,AL,2005,35004
Creel Dr,,,Moody,,17860,6000,Unknown,,,AL,,35004
3309 Highfield Dr,6.0,6,Moody,32,100187,510000,Single Family Residential,January-28-2019,5377,AL,2001,35004
3430 Acton Rd,3.5,4,Moody,21,117612,417413,Single Family Residential,February-8-2019,2700,AL,2019,35004
3414 Acton Rd #11,,,Moody,15,65340,20000,Vacant Land,February-14-2019,,AL,,35004
2300 Spaulding Pl,1.0,,Moody,,,114000,Single Family Residential,,1406,AL,2005,35004
2200 BLUE RIDGE DR,,,MOODY,,35284,2300000,Unknown,,,AL,,35004
2420 Folsom St,2.0,4,Moody,53,6098,182500,Single Family Residential,January-7-2019,1839,AL,2011,35004
1192 Washington Dr,2.0,3,Moody,21,,157000,Single Family Residential,February-8-2019,1472,AL,2007,35004
2633 Ridgewood Ln,2.0,3,Moody,9,16988,103801,Single Family Residential,February-20-2019,1210,AL,1996,35004
1029 Windsor Pkwy,2.0,4,Moody,48,4356,176000,Single Family Residential,January-12-2019,2123,AL,2002,35004
905 Brooke Ter,2.0,4,Moody,7,,218438,Single Family Residential,February-22-2019,1631,AL,,35004
904 Brooke Ter,2.0,4,Moody,7,,219510,Single Family Residential,February-22-2019,1631,AL,,35004
3915 Valley Bend Dr,2.0,3,Moody,7,20908,198000,Single Family Residential,February-22-2019,1844,AL,1976,35004
906 Brooke Ter,2.0,4,Moody,28,,204900,Single Family Residential,February-1-2019,1631,AL,,35004
3422 Moody Pkwy,1.5,,Moody,,1176120,675000,Single Family Residential,,3205,AL,1974,35004
903 Brooke Ter,2.0,4,Moody,7,,219510,Single Family Residential,February-22-2019,1631,AL,,35004
902 Brooke Ter,2.0,4,Moody,7,,219510,Single Family Residential,February-22-2019,1631,AL,,35004
1045 Lexington Dr,2.0,4,Moody,151,5662,187000,Single Family Residential,October-1-2018,1871,AL,2007,35004
3093 Vintage Way,2.0,3,Moody,161,8712,180000,Single Family Residential,September-21-2018,1683,AL,2005,35004
3008 Canterbury Dr,2.5,3,Moody,81,13068,127500,Single Family Residential,December-10-2018,1656,AL,1992,35004
2519 Carl Jones Rd,1.0,,Moody,,65340,240400,Single Family Residential,,1344,AL,1987,35004
2429 Blueberry Dr,1.0,,Leeds,,21780,233150,Single Family Residential,,2040,AL,1977,35094
3401 Acton Rd,,,Moody,,52272,359905,Single Family Residential,,,AL,,35004
2211 Castle Hill Ln,2.5,3,Moody,63,,130500,Townhouse,December-28-2018,1341,AL,2005,35004
7355 Old Acton Rd,2.5,3,Moody,91,26571,152000,Single Family Residential,November-30-2018,1848,AL,2006,35004
2312 Chadwick Dr,2.0,4,Moody,70,6098,193000,Single Family Residential,December-21-2018,1839,AL,2011,35125
2253 Rushton Ln,2.0,3,Moody,78,,160000,Single Family Residential,December-13-2018,1294,AL,2005,35004
1139 Alden Glen Dr,2.0,3,Moody,35,4791,185000,Single Family Residential,January-25-2019,1565,AL,2011,35004
2060 Tudor Ln,2.0,3,Moody,29,4356,180000,Single Family Residential,January-31-2019,1805,AL,2005,35004
1132 Avalon Dr,2.0,3,Moody,28,,169900,Single Family Residential,February-1-2019,1472,AL,2005,35004
1107 Oak Blvd,1.0,,Moody,,17424,115000,Single Family Residential,,1305,AL,1991,35004
1103 Poplar Cir,3.0,4,Moody,1,,205000,Single Family Residential,February-28-2019,2062,AL,2005,35004
5025 Kelly Creek St,2.5,3,Moody,140,6098,195000,Single Family Residential,October-12-2018,1888,AL,2010,35004
2210 Carl Jones Rd,2.0,,Moody,,239580,106355,Single Family Residential,,3542,AL,1963,35004
1048 Windsor Pkwy,2.0,3,Moody,113,4356,158000,Single Family Residential,November-8-2018,1480,AL,2003,35004
7008 Lavender Ct,2.0,3,Moody,112,10454,223000,Single Family Residential,November-9-2018,1680,AL,2015,35004
2244 Rushton Ln,2.5,3,Moody,15,4356,195000,Single Family Residential,February-14-2019,1749,AL,2006,35004
941 Mockingbird Ln,3.0,4,Leeds,70,17424,189900,Single Family Residential,December-21-2018,2490,AL,1978,35094
7380 Old Acton Rd,1.0,,Moody,,23958,141936,Single Family Residential,,1149,AL,2006,35004
5010 Kelly Creek St,1.0,,Moody,,6098,163687,Single Family Residential,,1521,AL,2010,35004
2034 Plantation Pkwy,2.0,3,Moody,155,8712,149000,Single Family Residential,September-27-2018,1395,AL,1999,35004
1833 Park Ave,1.0,,Moody,,17424,32500,Mobile/Manufactured Home,,1344,AL,2000,35004
2842 Shirley Dr,1.0,,Moody,,21780,110000,Single Family Residential,,1426,AL,2001,35004
6008 Pembroke Dr,2.0,3,Moody,175,14810,177000,Single Family Residential,September-7-2018,1568,AL,2008,35004
1018 Kelly Creek Way,2.0,3,Moody,144,6098,167000,Single Family Residential,October-8-2018,1543,AL,2006,35004
1136 Windsor Pkwy,2.0,3,Moody,163,4356,160000,Single Family Residential,September-19-2018,1296,AL,2004,35004
1100 Washington Dr,1.0,,Moody,,6534,140000,Single Family Residential,,1466,AL,2005,35004
1017 Washington Ct,2.0,3,Moody,168,5227,165000,Single Family Residential,September-14-2018,1564,AL,2006,35004
1052 Washington Dr,2.0,3,Moody,176,,134500,Single Family Residential,September-6-2018,1440,AL,2005,35004
1028 Washington Dr,1.0,,Moody,,,130046,Single Family Residential,,1466,AL,2005,35004
1038 Washington Ct,1.0,,Moody,,5663,189029,Single Family Residential,,1472,AL,2006,35004
2219 Castle Hill Ln,2.0,2,Moody,161,,115000,Townhouse,September-21-2018,1039,AL,2005,35004
4013 Verbena Dr,2.0,3,Moody,116,12632,189000,Single Family Residential,November-5-2018,1946,AL,2008,35004
1072 Lexington Dr,1.0,,Moody,,6098,184000,Single Family Residential,,2129,AL,2007,35004
2224 Spaulding Pl,1.0,,Moody,,,96000,Single Family Residential,,1442,AL,2005,35004
1431 Park Ave,2.0,3,Moody,29,36154,102000,Mobile/Manufactured Home,January-31-2019,1248,AL,1988,35004
0 Walnut Dr Unit .,,,Moody,1,209088,42000,Vacant Land,February-28-2019,,AL,,35004
2012 Spaulding Pl,2.0,3,Moody,1,,149900,Single Family Residential,February-28-2019,1463,AL,2004,35004
1011 Creel Dr,,,Moody,,17424,308400,Unknown,,,AL,,35004
4013 Kelly Creek Ln,2.0,3,Moody,162,348,180000,Single Family Residential,September-20-2018,1710,AL,2009,35004
1104 Lake Joyce Rd,2.0,,Moody,,,269800,Single Family Residential,,1350,AL,1971,35004
927 Clements Cir,2.0,2,Moody,178,131115,98650,Single Family Residential,September-4-2018,2744,AL,1984,35004
1196 Windsor Pkwy,1.5,,Moody,,4356,172000,Single Family Residential,,1252,AL,1999,35004
4104 Melanie Dr,3.0,5,Moody,154,,230000,Single Family Residential,September-28-2018,3389,AL,1981,35004
1040 Avalon Dr,2.0,3,Moody,134,,184900,Single Family Residential,October-18-2018,1861,AL,2004,35004
2020 Shamrock Ln,2.0,3,Moody,134,,170000,Single Family Residential,October-18-2018,1788,AL,2004,35004
3011 Magnolia Dr,3.5,4,Moody,176,21780,251000,Single Family Residential,September-6-2018,2260,AL,2006,35004
1006 Oak Valley Dr,2.0,3,Moody,140,,249900,Single Family Residential,October-12-2018,1700,AL,,35004
1533 Park Ave,,,Moody,,131551,18000,Mobile/Manufactured Home,,1440,AL,1973,35004
2007 Park Pl Dr,2.0,,Moody,,15246,220000,Single Family Residential,,1621,AL,2001,35004
1069 Lexington Dr,1.0,,Moody,,10890,175000,Single Family Residential,,1968,AL,2007,35004
3073 Vintage Way,1.0,,Moody,,4356,147625,Single Family Residential,,1495,AL,2005,35004
1012 Hickory St,2.0,3,Moody,116,,135000,Single Family Residential,November-5-2018,1386,AL,1994,35004
1011 Creel Dr,2.0,3,Moody,129,17424,308000,Single Family Residential,October-23-2018,1790,AL,,35004
4047 Jubilee Ln,2.0,3,Moody,70,,163000,Single Family Residential,December-21-2018,1470,AL,2004,35004
1138 James Taylor Rd,3.5,5,Moody,78,116740,350000,Single Family Residential,December-13-2018,4010,AL,1997,35004
1147 Washington Dr,2.0,3,Moody,123,4791,164900,Single Family Residential,October-29-2018,1472,AL,2005,35004
3228 Daniel Dr,1.0,3,Moody,2,15245,125000,Single Family Residential,February-27-2019,1075,AL,1970,35004
2063 Tudor Ln,1.0,,Moody,,4356,100000,Single Family Residential,,1706,AL,2005,35004
2534 Joey Adkins Dr,2.0,3,Moody,112,4356,153000,Single Family Residential,November-9-2018,1272,AL,2004,35004
3250 Fortner Ln,1.0,,Moody,,14810,38000,Single Family Residential,,1176,AL,1973,35004
1064 Windsor Pkwy,2.0,3,Moody,91,4791,152000,Single Family Residential,November-30-2018,1664,AL,2003,35004
5022 Kelly Creek St,3.0,3,Moody,91,4356,193900,Single Family Residential,November-30-2018,2155,AL,2010,35004
2729 Briarwood Ln,2.0,3,Moody,36,28749,168500,Single Family Residential,January-24-2019,1423,AL,1995,35004
3401 Acton Rd,3.5,4,Moody,101,52272,,Single Family Residential,November-20-2018,2700,AL,2018,35004
1624 Fairview Dr,1.5,,Moody,,17424,25000,Single Family Residential,,2784,AL,1976,35004
2209 Castle Hill Ln,2.5,3,Moody,101,,132000,Townhouse,November-20-2018,1366,AL,2005,35004
,,,,,161172,102000,Unknown,,,AL,,
1203 Sycamore Cir,2.5,3,Moody,122,8712,162500,Single Family Residential,October-30-2018,1514,AL,2003,35004
2212 Rushton Ln,2.5,3,Moody,101,4356,180000,Single Family Residential,November-20-2018,1556,AL,2006,35004
3049 Vintage Way,2.0,3,Moody,91,4356,178000,Single Family Residential,November-30-2018,1691,AL,2005,35004
1151 Washington Dr,2.0,3,Moody,36,6534,152000,Single Family Residential,January-24-2019,1548,AL,2005,35004
908 Brooke Ter,2.0,5,Moody,18,23086,210000,Single Family Residential,February-11-2019,1800,AL,2014,35004
3000 Lily Cir,3.5,4,Moody,17,27007,370000,Single Family Residential,February-12-2019,3213,AL,2013,35004
1179 Washington Dr,2.0,3,Moody,172,,164900,Single Family Residential,September-10-2018,1648,AL,2007,35004
4050 Wellington Way,1.0,,Moody,,11326,255000,Single Family Residential,,2078,AL,2003,35004
8019 Indigo Ct,2.5,3,Moody,122,13068,225000,Single Family Residential,October-30-2018,1946,AL,2014,35004
1023 Windsor Pkwy,3.0,4,Moody,108,1960,,Single Family Residential,November-13-2018,1992,AL,1998,35004
6027 Kelly Creek Cir,2.5,3,Moody,154,8712,179500,Single Family Residential,September-28-2018,2011,AL,2006,35004
1065 Ivy Pl,1.0,,Moody,,,211500,Single Family Residential,,1952,AL,2005,35004
4046 Verbena Dr,2.0,3,Moody,106,10454,213000,Single Family Residential,November-15-2018,1680,AL,2016,35004
1112 Windsor Pkwy,2.0,3,Moody,121,4356,148000,Single Family Residential,October-31-2018,1307,AL,2004,35004
3240 Pine Hill Rd,,,Moody,,383328,13500,Single Family Residential,,960,AL,1925,35004
1041 Lexington Dr,2.0,3,Moody,78,5662,193000,Single Family Residential,December-13-2018,1929,AL,2007,35004
7027 Glenwood Ln,2.0,3,Moody,30,,154900,Single Family Residential,January-30-2019,1270,AL,2014,35004
4041 Cambridge Dr,2.0,3,Moody,29,5662,160000,Single Family Residential,January-31-2019,1380,AL,2007,35004
1041 Washington Dr,1.0,,Moody,,,150000,Single Family Residential,,1423,AL,2005,35004
2417 Folsom St,2.5,4,Moody,22,6534,215000,Single Family Residential,February-7-2019,2473,AL,2010,35004
2119 Adkins Pl,1.0,,Moody,,,130000,Single Family Residential,,1395,AL,2004,35004
1028 Kelly Creek Way,2.0,3,Moody,123,6098,169900,Single Family Residential,October-29-2018,1410,AL,2006,35004
1207 Gary Alan Trc,2.0,3,Moody,140,13068,137000,Single Family Residential,October-12-2018,1835,AL,1978,35004
1026 Hickory St,2.0,4,Moody,140,14810,165000,Single Family Residential,October-12-2018,1925,AL,1994,35004
940 Oak Blvd,1.0,,Moody,,13068,10000,Single Family Residential,,1288,AL,1980,35004
997 Kerr Rd,2.0,3,Moody,162,43560,114500,Single Family Residential,September-20-2018,1476,AL,1970,35004
7043 Glenwood Ln,2.5,4,Moody,169,6534,219900,Single Family Residential,September-13-2018,2187,AL,2015,35004
2304 Blue Ridge Dr,2.0,3,Moody,77,,125900,Single Family Residential,December-14-2018,1300,AL,1978,35004
2586 Sunrise Dr,1.5,,Moody,,17424,330000,Single Family Residential,,1476,AL,2000,35004
3308 Byars Rd,3.5,4,Moody,74,21780,205000,Single Family Residential,December-17-2018,2166,AL,1993,35004
1143 Washington Dr,2.0,3,Moody,7,4791,158400,Single Family Residential,February-22-2019,1406,AL,2005,35004
3115 Rosewalk Dr,2.0,4,Moody,7,6534,188000,Single Family Residential,February-22-2019,1824,AL,2011,35004
2137 Parsons Dr,2.0,3,Moody,2,4356,167000,Single Family Residential,February-27-2019,1390,AL,2006,35004
